question1,question2,label
ما هي طرق استخدام البيض للوجه؟,كيف استخدم البيض لوجهي؟,1
ما هي القارة الأكثر انتشاراً للجبال فيها؟,من القارة التي تنتشر فيها الجبال بكثرة؟,1
ماذا نقصد بشبكة MAN؟,ما وظيفة شبكات الكمبيوتر؟,0
ما هي اعراض فقر الدم المتقدمة؟,ما اعراض فقر الدم المزمنة؟,0
ما مجالات عمل الصيدلي في المستشفيات ؟,من هو الصيدلي ؟,0
هل يوجد سلبيات للتعليم التكنولوجي؟,ما هي إيجابيات التعليم التكنولوجي؟,0
في أي عام انتهى الحكم الملكي في ليبيا؟,أين تقع ليبيا؟,0
كيف احضر الزهرة المَقليَّة على الطريقة المصريّة؟,من طرق تحضير الزهرة المَقليَّة ؟,0
ما هي خطوات متابعة الشكوى الادارية؟,ما معنى متابعة الشكوى الادارية؟,0
ما هي مساحة مقدونيا؟,كم تصل المساحة الإجمالية للنرويج؟,0
ما هي عاصمة سيشل؟,ما هي عاصمة رواندا؟,0
ما أسماء اللغات في الصين؟,ما هي نسبة المتحدثين للغة المندرينية في أنحاء العالم؟,0
ماذا يحد قارة أفريقيا من الجهة الشمالية؟,ماذا يحد قارة أفريقيا من الجهات الأربع؟,0
ما هو البخور العرائسي ؟,ما هو البخور ؟,0
كيف احضر  بودنج الجزر الهندي؟,من طرق تحضير  بودنج الجزر الهندي؟,1
ماذا نقصد بتراكم دهون الوجه؟,ما هي دهون البطن؟,0
متى وصل المستوطنون الأوائل إلى جزيرة فيجي؟,متى وصل أول مستوطنون إلى جزيرة فيجي؟,1
ما طريقة تحضير الكسكسي بالقشطة والعسل؟,من طرق تحضير   الكسكسي ؟,0
الى ماذا تقسم الفوائد ؟,هل هناك انواع للفوائد ؟,1
ما الذي يميز الضفادع؟,بماذا تتميز الضفادع؟,1
ما هي اللغة الرسمية في الصين؟,كم يصل متوسط أعمار سكان الصين؟,0
كيف احضر عصير الشمندر؟,من طرق تحضير سلطة الشمندر؟,0
كيف احضر حلى قهوة بالتمر؟,من طرق تحضير القهوة؟,0
متى أخترع أول جهاز ذكي؟,ما المقصود بالأجهزة الذكية؟,0
ما هي صلاة الحاجة؟,ما معنى صلاة الحاجة؟,1
ما هو علاج تكيس المبايض؟,ما هو علاج تكيس المبيض؟,1
ما طريقة تحضير شوربة الكريمة بالمشروم؟,من طرق تحضير شوربة الكريمة ؟,0
ما هو تعريف البيانات الاقتصادية ؟,ما المقصود بجمع البيانات الاقتصادية؟,0
من اسباب التضخم ؟,ما هو التضخم ؟,0
ما هي خلاصة الانتاج ؟,ما تعريف  نموذج الانتاج ؟,0
ما طريقة تحضير حلوة الترك بالبسكويت؟,من طرق تحضير حلوة الترك؟,0
ما هي بداية معلقة امرؤ القيس؟,كم عدد قصائد امرؤ القيس؟,0
ما هي عاصمة المملكة البحرينية؟,ما هي كثافة البحرين السكانية؟,0
من طرق تحضير الكرسبي المقرمش؟,",من طرق تحضير البسكويت المقرمش؟",0
كيف احضر معكرونة لسان العصفور؟,من طرق تحضير  معكرونة لسان العصفور؟,1
هل تنقي الميرمية البشرة من الحبوب؟,هل تعالج الميرمية البشرة من الحبوب؟,1
كيف احضر البَطّ المشوي مع البرتقال؟,من طرق تحضير البَطّ المشوي؟,0
ما دور محلل أنظمة المعلومات؟,ما هي مهمة محلل أنظمة المعلومات؟,1
من ماذا تتكون بطاقة الفيزا ؟,من انواع بطاقة الفيزا ؟,0
هل للسدر فوائد صحية؟,ما فوائد السدر لصحة البشرة؟,0
ما هو المناخ العام للأردن؟,ما عدد سكان الأردن؟,0
ما هي عناصر التفويض ؟,ما هي أجزاء التفويض ؟,1
كيف احضر كيكة الكوكيز بالنوتيلا؟,من طرق تحضير كيكة الكوكيز  ؟,0
من طرق تحضير الكريب المالح؟,من طرق تحضير الكريب؟,0
ما هي طريقة تحضير الأرزّ المفلفل مع الشّعيريّة؟,من طرق تحضير الأرزّ المفلفل مع الشّعيريّة؟,1
ما المساحة الجغرافية لكامل مناطق قارة أوقيانويا؟,كم تبلغ مساحة جميع أجزاء قارة أوقيانوسيا الإجمالية؟,1
ماذا نقصد بالقروض الشخصية؟,ما هو تعريف القروض الشخصية ؟,1
ماذا يشبه أبو ذنيبة في شكله؟,كيف يحمي أبو ذنيبة نفسه؟,0
ما أهمية لبن الزبادي لتفتيح البشرة؟,هل يُفتّح الزبادي البشرة؟,1
أين تقع كرواتيا في قارة أوروبا؟,ما موقع بلغاريا في قارة أوروبا؟,0
ما هي أعراض الحمل؟,كيف أعرف أني حامل؟,1
ما هي اهداف الطلب الخطي ؟,هل هناك اهداف للطلب الخطي ؟,1
كم نسبة المساحة لقارات العالم؟,ما هي النسبة الجغرافية لمساحة قارات العالم؟,1
ما هي الفطريات الجلدية؟,ما هي الفطريات التي تصيب الجلد؟,1
ما هي أدوية البهاق؟؟,كيف يعالج البهاق بالادوية؟,1
ما هو أقدم مصدر للحصول على المعلومات؟,من أكثر المصادر قدما للحصول على المعلومات؟,1
كيف احضر لفائف الروستو باللحم المفروم؟,من طرق تحضير لفائف الروستو باللحم المفروم؟,1
كيف احضر نرجسكو الدّجاج؟,من طرق تحضير الدجاج؟,0
ماذا يعمل القولون في الجسم؟,ما هو القولون؟,0
ما هي الفائدة المركبة؟,ما هي الفوائد ؟,0
ما هي قبيلة الشاعر عبيد بن الأبرص؟,بماذا اشتهر شعر عبيد بن الأبرص؟,0
ما غذاء أبو ذنيبة؟,ماذا يأكل أبو ذنيبة؟,1
من هو قائل قصيدة نالت على يدها ما لم تنله على يدي؟,ما هي  قصيدة نالت على يدها ما لم تنله على يدي؟,0
من هو مبرمج الحاسوب؟,ما هي مهمة مبرمج الحاسوب؟,1
ما هي أعراض نقص فيتامين د؟,ما هو فيتامين د؟,0
من البلد التي تحد الأردن من الجهة الغربية؟,ماذا يحد الأردن من الشرق؟,0
ما هي المساحة الجغرافية لقارة آسيا؟,ما مساحة قارة آسيا؟,1
بماذا يفيد تمرين الضغط للقلب؟,بماذا يفيد تمرين الضغط في حرق دهون الجسم؟,0
من يكون مدير شؤون الموظفين؟,ما هي مهام شؤون الموظفين ؟,0
متى نشأت هيئة الأمم المُتّحدة ؟,ما هي  هيئة الأمم المُتّحدة ؟,0
كيف احضر رولات التونة؟,من طرق تحضير رولات الدجاج؟,0
كم تبلغ مساحة سان مارينو؟,كم تصل المساحة الإجمالية لرومانيا؟,0
ما هي عاصمة الصومال؟,ما اسم العاصمة الصومالية؟,1
ما طريقة تحضير  السلطة الخضراء ؟,كيف احضر  السلطة الخضراء؟,1
كم تصل كثافة بلغاريا السكانية؟,كم تبلغ كثافة البوسنة والهرسك السكانية؟,0
من عمليات الانتاج ؟,ماذا نقصد بالانتاج ؟,0
بأي لغات تُكتب قواعد البيانات؟,ما هي قواعد البيانات؟,0
من الذي قام بتحميض أول صورة؟,ما المقصود بتحميض الصور؟,0
ما هي مميزات الجيل الأول للحاسوب؟,بم تميز الجيل الأول للحاسوب؟,1
ما مميزات التكنولوجيا ؟,ما خصائص التكنولوجيا ؟,1
ما دور الوصفات الطبيعية في علاج النمش؟,كيف أتخلص من النمش؟,0
من ماذا تتكون التكنولوجيا ؟,ما تعريف التكنولوجيا ؟,0
من شروط التفويض ؟,ما هو التفويض؟,0
ما هي العاصمة البرتغالية؟,ما اسم عاصمة بولندا؟,0
من طرق تحضير كيكة الجزر بالزبادي؟,من طرق تحضير كيكة الجزر  ؟,0
متى تم تأسيس موقع لينكد إن؟,في أي سنة تم تأسيس موقع لينكد إن؟,1
ما العلاقة بين القهوة وهشاشة العظام؟,ما علاقة القهوة بهشاشة العظام؟,1
كم يبلغ ارتفاع جبال الألب؟,ما اسم أعلى قمة في أستراليا؟,0
ما هي مميزات الجيل الثاني للحاسوب؟,بم تميز الجيل الثاني للحاسوب؟,1
ما هي الفوائد البنكية ؟,ما هو البنك ؟,0
ما هي النظريّة المبادئ الإداريّة  في المدرسة الكلاسيكية ؟,ما معتقدات المدرسة الكلاسيكية؟,0
متى حصلت المغرب على استقلالها؟,ما هي حدود المغرب الشرقية؟,0
ماذا نقصد بالهاتف الخلوي؟,ما هو الهاتف المحمول؟,1
بماذا تتميز هواتف النوكيا عن غيرها من الهواتف؟,ما هي أهم ميزة بهواتف النوكيا؟,1
أين تقع البوسنة والهرسك في قارة أوروبا؟,ما موقع البوسنة والهرسك في قارة أوروبا؟,1
ما المعلومات التي يجهلها المواطنين فيما يتعلق بجغرافية وطنهم وتاريخه؟,ما أسباب عدم الإلمام بالمعلومات الأساسية عن الوطن؟,0
متى صدرت عملة فلسطين؟,ما هي العملة ؟,0
كيف احضر حلى تارت الكاسترد؟,من طرق تحضير  حلى تارت  ؟,0
كيف يصبح وجهي صافياً؟,كيف تصبح بشرتي صافيّة؟,1
ماذا نقصد بالاسهم ؟,ما هي سلبيات الاسهم ؟,0
ما هي عملة الكويت؟,ما هي العملة ؟,0
كيف يصنع الاسمنت ؟,ما خطوات صناعة الاسمنت ؟,1
ما طريقة تحضير كيكة قدرة قادر ؟,من طرق تحضير كيكة قدرة قادر؟,1
من مهام المدير العام ؟,من هو المدير العام ؟,0
كيف احضر الزلابية؟,من طرق تحضير الزلابية؟,1
"كيف احضر الأرزّ المفلفل مع الشّعيريّة ؟""",من طرق تحضير الارز؟,0
من طرق تحضير محشي الجزر الأحمر بالشمندر؟,من طرق تحضير محشي الجزر الأحمر  ؟,0
ما طريقة تحضير يخنة القلقاس ؟,كيف احضر يخنة القلقاس؟,1
ما اسم مقاطعات هايتي؟,ما أسماء المقاطعات العشر في هايتي؟,1
ما هي مكونات تقنية المعلومات؟,ما هي تقنية المعلومات؟,0
كيف احضر عجينة البورك؟,",من طرق تحضير العجينة  ؟,",0
ما تاريخ اكتشاف المغناطيس ؟,ما هو المغناطيس ؟,0
متى وقعت غزوتا ذي أمر وغطفان؟,متى كانت غزوتا بدر وأحد؟,0
من نصائح  التسوق على  الإنترنت؟,",ما نصائح التسوق على الانترنت ؟,",1
كيف احضر كيكة التمر ؟,من طرق تحضير  التمر ؟,0
ما هي حالات الهوية ؟,ما هي البطاقة الشخصية ؟,0
ما طريقة تحضير البقسماط المصري ؟,من طرق تحضير البقسماط بالسمسم؟,0
كيف احضر كانتون صيني؟,من طرق تحضير كانتون صيني؟,1
لماذا سميت موسكو بهذا الاسم؟,ما هي اللغة الرسمية في موسكو؟,0
ما كيفية تنظيف السجاد ؟,كيف يتم تنظيف السجاد ؟,1
في أي عام انضمت نيوفنلند ولابرادور للاتحاد الكندي؟,في أي عام أنشئ القانون الدستوري في كندا؟,0
ماذا نقصد بالنقود ؟,ما هو مبدأ النقود ؟,0
ما هي اللغة الرسمية للمملكة الأردنية؟,ما لغة الأردن الرسمية؟,1
كم جزيرة يوجد في جزر الألف؟,كم عدد الجزر في جزر الألف؟,1
ما هي مصدار فيتامين ب 12؟,ما هي الأغذية الغنية بفيتامين ب12؟,0
ما عدد قارات العالم؟,ما هو عدد القارات الموجودة في العالم؟,1
ما هي الدواجن ؟,من انواع الدواجن ؟,0
كم تبلغ الكثافة السكانية في المجر؟,كم تصل كثافة المجر السكانية؟,1
ما علاقة البقدونس بالنشاط الاستروجيني؟,كيف ينتج الإستروجين؟,0
من طرق تحضير كيكة الكوسا ؟,من طرق تحضير كوسا ؟,0
من طرق تحضير  حلاوة الجبن الحموية؟,من طرق تحضير الحلاوة الحموية؟,0
ما طريقة تحضير كيك الشوكولاتة وجوز الهند ؟,من طرق تحضير كيك الشوكولاتة ؟,0
ما طريقة تحضير حلوى التفاح المقليّة بالقرفة؟,من طرق تحضير حلوى التفاح ؟,0
ما طريقة تحضير مجدرة الأرز ؟,من طرق تحضير مجدرة الأرز؟,1
ما المقصود بطاقة الكتلة الحيوية؟,ما هي طاقةالكتلة الحيوية؟,1
كيف يكون شكل سيقان الضفادع؟,ما شكل سيقان الضفادع؟,1
ما معنى حب الوطن؟,ما معنى الاستخلاف؟,0
ماذا نقصد بشبكة النجمة؟,ما هي شبكة النجمة؟,1
ما هي نظريات التضخم ؟,ما هو التضخم ؟,0
ما طريقة تحضير الفوتشيني؟,كيف احضر الفوتشيني؟,1
طريقة وصفة ملح البحر للتخلص من احمرار البشرة ؟,كيف أستخدم ملح البحر لتهدئة بشرتي من الاحمرار؟,1
ما تعريف النقود السلعية؟,ماهي النقود ؟,0
أين توجد قارة أمريكا الشمالية؟,كم تبلغ مساحة قارة أوروبا؟,0
ماذا نقصد بالفخار ؟,ما هو الفخار ؟,1
كيف يمكن التخلص من الخوف من مواجهة الناس من خلال تدوين الأفكار؟,كيف أتغلب على الخوف؟,0
في أي إقليم توجد محافظة إربد؟,كم يبلغ عدد سكان محافظة إربد؟,0
ما هي طريقة وصفة البيض للتخلص من التجاعيد؟,هل يقوي البيض الشعر؟,0
ما هو أًصل سكان بلجيكيا؟,ما عدد السكان العرب في بلجيكيا؟,0
ما ديانة بريطانيا الرسمية؟,ما هي لغة بريطانيا المعترف فيها؟,0
ما المقصود بالعمل الجر ؟,ما هو تعريف العمل؟,0
ما هي حالة الطقس العامة في مدغشقر شتاءً؟,كيف هي الحالة العامة للطقس في مدغشقر شتاءً؟,1
من هي الجزيرة الأكبر في أفريقيا؟,ما هي اللغة الأكثر شيوعاً في قارة أوروبا؟,0
ما هي شروط كتابة الرّسائل الإداريّة؟,ما هي فوائد الرسائل الادارية ؟,0
هل يُفتّح البرتقال البشرة؟,ما فوائد عصير البرتقال؟,0
ما اسم ميناء الأردن؟,بماذا يسمى ميناء الأردن الوحيد؟,1
ما هو الائتمان؟,ما تعريف الائتمان؟,1
متى كانت أول صورة بالألوان؟,في أي سنة ظهرت أول صورة بالألوان؟,1
لماذا يسعل الأطفال؟,ما هي أسباب الكحة عند الكبار؟,0
مما تتكون التلبينة؟,ما هو حساء الشعير ؟,0
ما هي عاصمة النرويج؟,ما اسم عاصمة النرويج؟,1
متى أكتشفت سواحل أستراليا الغربية والشمالية من قبل الهولنديون؟,هل يوجد أنهار في أستراليا؟,0
ما اسم أول جهاز خلوي تم اختراعه؟,بماذا يختلف الهاتف الخلوي عن الأرضي؟,0
ما مدى صحة أن الوصفات الطبيعية تزيل النمش؟,كيف أتخلص من النمش؟,0
ماذا نقصد بالقروض المضمونة ؟,ما هو القرض المضمون ؟,1
من صاحب قصيدة أضحى فؤادك يا وليد عميدا؟,ما هي قصيدة أضحى فؤادك يا وليد عميدا؟,0
في أي عام بُني تمثال المسيح الفادي؟,من هو المهندس الذي قام ببناء تمثال المسيح الفادي؟,0
هل كان للحضارة الفرعونية في المخترعات؟,كيف ساهمت الحضارة الفرعونية في المخترعات؟,1
متى ظهرت الصيدلة ؟,متى كان اول ظهور للصيدلة ؟,1
ما هو نظام الحكم في الأردن؟,ما هو النظام الحاكم في المملكة الأردنية؟,1
ما هي اسباب تنميل الاطراف؟,ما هي اسباب خدران الاطراف؟,1
ما نسبة المتعلمين فوق عمر 15 سنة في مدغشقر؟,كم يبلغ عدد المتعلمين فوق 15 سنة في مدغشقر؟,1
ما هو أصل امرؤ القيس؟,متى ولد امرؤ القيس؟,0
أين تقع روسيا البيضاء في قارة أوروبا؟,ما هو موقع النمسا في قارة أوروبا؟,0
أين يقع برج خليفة في دبي؟,أين يوجد برج خليفة في دبي؟,1
ما اسم أول من سكن في الجمهورية الجزائر؟,لماذا استوطن البربر الجبال في المنطقة الشمالية؟,0
ما خصائص القارة؟,بماذا تتميز القارة؟,1
ما اسم عاصمة ساسكاتشوان؟,ما اسم عاصمة نيوفنلند ولابرادور؟,0
لماذا سمي مبنى الكولوسيوم اسم المدرج الفلافي؟,في أي عام بدأت أعماء البناء للكولوسيوم؟,0
ما أكبر مدينة في المملكة الأردنية؟,ما هي المدينة التي يقع فيها ميناء الأردن الوحيد؟,0
ما هو موقع الأردن؟,ما يحد الاردن من الشمال؟,0
ما النهج الذي تتبعه المجلة الإلكترونية في نشر محتواها؟,كيف تنشر المجلة الإلكترونية محتواها؟,1
ما عاصمة أنغولا؟,ما عاصمة زيمبابوي؟,0
كيف احضر المقروط المغربي ؟,من فوائد المقروط ؟,0
ما هي اعراض كيس الشعر؟,ما هي اعراض الكيس الدهني؟,0
كيف تفيدنا تدريبات الاسترخاء بالتكيف مع الناس؟,كيف نعمل تمرينات الاسترخاء؟,0
ما طريقة تحضير زهرة بالطحينية ؟,من طرق تحضير زهرة بالطحينية؟,1
ما هي عاصمة أوكرانيا؟,ما اسم عاصمة سويسرا؟,0
أين توجد قلعة الكرملين؟,في أي مدينة تقع قلعة الكرملين؟,1
كيف احضر كيكة الكتكات؟,من طرق تحضير كيكة الكتكات؟,1
ما هي اعراض فقر الدم الشديد؟,ما هي اعراض فقر الدم المتقدمة؟,1
ما هو علاج الصفار؟,ما هو علاج اليرقان؟,1
ما هي طريقة قناع الحليب لتضييق المسامات الواسعة في الوجه؟,كيف أصغر المسامات الواسعة في وجهي بالحليب؟,1
ما هو البترول؟,من أين نحصل على  البترول؟,0
كيف اطبخ اللحم بسرعة؟,من طرق طبخ اللحم بسرعة؟,1
من مقومات التكنولوجيا ؟,ما تعريف التكنولوجيا ؟,0
ما هو الحب؟,ما هو تعريف الحب؟,1
إلى ماذا يؤدي حصى الكلى؟,ماذا يسبب حصى الكلى؟,1
ما هي الديانات الموجودة في أندونيسيا؟,أين يقعرمقر البرلمان الماليزي؟,0
ما هي ديانة السعودية الرسمية؟,ما مناخ السعودية؟,0
كيف توفي عبدالحليم حافظ؟,ما هي المرض الذي اصاب عبدالحليم حافظ؟,1
متى نالت الجزائر استقلالها الكامل؟,ما هي الفترة الزمنية التي احتلت فيها القوات الفرنسية الجزائر؟,0
ما أهم ميدان في بريطانيا؟,في أي عام بني ميدان بيكاديلي؟,0
ما تأثير فهم مصطلح الوطن للجميع على المواطنين؟,كيف يعزز مفهوم الوطن للجميع الانتماء لدى المواطنين؟,1
ما طريقة تحضير الشكشوكة على الطّريقة التركيّة ؟,كيف احضر  الشكشوكة على الطّريقة التركيّة؟,1
ما اسم الرحال الذي اكتشف جزيرة فيجي؟,من هو من قام باستكشاف جزيرة فيجي؟,1
ما هي اللغة المعترف بها في بريطانيا؟,ما هي لغة بريطانيا المعترف فيها؟,1
من اغراض الصيدلة ؟,متى ظهرت الصيدلة ؟,0
ما أهمية شعر المعلقات؟,بم تميز شعر المعلقات؟,1
من طرق تحضير جلاب جامون الهندي ؟,من طرق تحضير  الحلو الهندي ؟,0
أين يوجد المتحف الوطني في إندونيسيا؟,في أي عام أُسس متحف إندونيسيا الوطني؟,0
ما طريقة تحضير  كب كيك بالبرتقال ؟,من طرق تحضير  كب كيك  ؟,0
هل هناك نصائح لنجاح مُقابلة العمل؟,من النصائح لنجاح مُقابلة العمل؟,1
كم إقليم يوجد في الولايات الأمريكية؟,ما مساحة أمريكا الإجمالية؟,0
ما أشهر لغة في قواعد البيانات؟,ما أهم قواعد البيانات؟,0
من طرق تحضير  البيتزا؟,من طرق تحضير صوص  البيتزا؟,0
ما هي الثواليل؟,ما هي الثآليل؟,1
في أي مكان توجد جبال الإلب؟,اين توجد جبال الألب؟,1
أين تقع الأردن؟,ما موقع المملكة الأردنية الهاشمية؟,1
ما هي أكبر مساحة دولة في العالم؟,ما هي أكبر دولة في العالم؟,1
أين تقع نيجيريا؟,لماذا سميت نيجيريا بهذا الإسم؟,0
ماذا نقصد بالموت؟,ما أجمل ما قيل بالموت؟,0
كيف احضر حلى قهوة موس الشوكولاتة؟,من طرق تحضير حلى قهوة موس الشوكولاتة؟,1
ما سبب تغير شكل عيني الضفدع عندما يمضغ طعامه؟,ما شكل عيون الضفدع؟,0
كيف احضر فاصولياء بمرق اللحم؟,من طرق تحضير فاصولياء بمرق اللحم؟,1
ما هي اقسام المواد الخام ؟,ماذا نقصد بالمواد الخام ؟,0
ما طريقة تحضير كيكة قوس قزح ؟,كيف احضر كيكة قوس قزح؟,1
من صاحب قصيدة آه ما حيلتي؟,ما هي مناسبة قصيدة آه ما حيلتي؟,0
كيف احضر الكيك العراقي بالتّمر ؟,من طرق تحضير الكيك العراقي بالتّمر ؟,1
ما هي خطوات عمل جيلبيريك؟,ما هي مميزات الجيلبريك؟,0
ما طريقة تحضير تورتة الشوكولاتة الإسفنجية  ؟,من طرق تحضير  الشوكولاتة  ؟,0
أين تقع ساعة بيج بين في بريطانيا؟,أين تقع ساعة بيج بين تحديداً في بريطانيا؟,1
كم تبلغ مساحة مقدونيا؟,أين تقع مدينة سكوبي؟,0
ما هي المحاسبة الإدارية؟,ما هي المحاسبة  ؟,0
ما هو فقر الدم؟,ما هي الأنيميا؟,1
أين تقع قارة أوروبا؟,ما هو موقع قارة أوروربا؟,1
ما طريقة تحضير ترايفل الشّوكولاتة البيضاء؟,من طرق تحضير الشوكولاتة؟,0
ما هي فوائد الميرميّة الصحيّة؟,ما فوائد الميرميّة للشعر؟,0
متى تم اصدار الدستور المغربي الأول؟,في أي عام أُصدر الدستور الأول للمغرب؟,1
ما هي المجالس التي تتألف منها السلطة التشريعية الأردنية؟,ماذا يقوم مجلس الوزراء الأردني؟,0
بماذا سمى بيرنارد ويبر مشروعه الجديد لعجائب الدنيا السبع؟,ماذا أطلق بيرنارد ويبر اسماً لمشروعه الجديد لعجائب الدنيا السبع؟,1
من طرق تحضير اصابع زينب بجوز الهند؟,طريقة تحضير اصابع زينب بالبهارات؟,0
ما هي اسباب الصداع المتكرر؟,ما هي اساب الم الراس المتكرر؟,1
كيف احضر  حلوى الكاجا الهندية؟,من طرق تحضير  حلوى الكاجا الهندية؟,1
ما هي أقسام الميزانية ؟,ما هي الميزانية ؟,0
من طرق تحضير كيكة كرات جوز الهند ؟,من طرق تحضير كيكة  جوز الهند ؟,0
كيف تكون الوقاية من الصفار؟,ما هي الوقاية؟,0
في أي عام اتبعت مدغشقر الحكم العسكري؟,ما هو نظام الحكم المدغشقري؟,0
متى استعمرت جزيرة فيجي من البريطانيين؟,ما هي الللغة المستخدمة في جزيرة تافوني؟,0
ما طريقة تحضير الكبد والقوانص مع الأرز ؟,من طرق تحضير الكبد والقوانص مع الأرز؟,1
كيف احضر فطيرة الباستا فلورا اليونانية؟,من طرق تحضير  فطيرة الباستا فلورا  ؟,0
ما أهم ما يميز دول قارة أوروبا؟,ما الذي يميز قارة آسيا؟,0
كم تنفق الحكومة الروسية على التعليم؟,كم تبلغ قيمة الإنفاق الحكومي على التعليم؟,0
كيف احضر  كيكة الجزر والجوز؟,من طرق تحضير  كيكة الجزر والجوز؟,1
ما أهمية البروتين للعضلات؟,ما أهمية البروتين الصناعي للعضلات؟,0
ما هو الثالول؟,ما هي الثواليل؟,1
ما هي خصائص القروض ؟,من مميزات القروض؟,1
ما هي عاصمة الفاتيكان؟,ما اسم عاصمة المملكة المتحدة؟,0
كيف أنّ لليمون دور في علاج النمش؟,كيف أستخدم عصير الليمون في علاج النمش؟,1
ما معنى غسيل الاموال ؟,ماذا نعني بغسيل الاموال ؟,1
كم نوع للضفدع يعيش في العالم؟,ما نسبة أنواع الضفادع الموجودة في العالم؟,1
من طرق تحضير كيكة البسبوسة بالقشطة ؟,من طرق تحضير  كيكة  بالقشطة؟,0
ما هي طريقة ماسك البرتقال لتفتيح البشرة؟,ما هي طريقة كيكة البرتقال؟,0
ما المقصود بتكنولوجيا المعلومات؟,ما هي تكنولوجيا المعلومات؟,1
لماذا لا تظهر التجاعيد على البشرة الدهنية مبكراً؟,كيف أتخلص من الزيوت في البشرة الدهنية؟,0
ما طريقة تحضير  تشيز كيك بالقهوة؟,من طرق تحضير تشيز كيك بالقهوة ؟,1
كيف يمكن تعويض الكالسيوم في الجسم؟,ما وسائل تعويض الكالسيوم في الجسم؟,1
ما هو عدد فروع مكاتب جوجل ؟,كم مكتب يوجد لجوجل حول العالم ؟,1
ما السبب وراء سهولة التنقل بين قارة أوقيانوسيا وقارة آسيا قديماً؟,ما الديانات الموجودة في قارة أوقيانوسيا؟,0
ماذا نقصد بالبطالة ؟,ما تعريف معدل البطالة ؟,0
كم العدد السنوي للسياح لجزيرة فيجي؟,كم تبلغ نسبة هطول الأمطار السنوية على جزيرة فيجي؟,0
من هو الذي اخترع  أول صورة ملونة؟,ما اسم العالم الذي قام باختراع أول صورة ملونة؟,1
من هو مخترع التلفاز ؟,من اخترع التلفاز ؟,1
ما هي شروط إصدار بطاقة الماستر كارد؟,ما شروط إصدار بطاقة ماستر كارد؟,1
هل هناك اية قرآنية عن الراعي والرعية ؟,من الآيات  القرآنية عن الراعي والرعية ؟,1
بماذا تتميز الضفادع؟,ما الذي يتكون منه جسم الضفادع؟,0
ما هي اللغة الرسمية في البوسنة والهرسك؟,ماهي لغة البوسنة والهرسك؟,1
ما كيفية تحضير اصابع زينب بالشومر؟,من طرق تحضير اصابع زينب بالشومر؟,1
كيف يكون غذاء الضفدع؟,على ماذا يتغذى الضفدع؟,1
كيف اخلط طين الفخار ؟,ماذا نقصد بالفخار ؟,0
ما اسم عاصمة ألمانيا؟,ما اسم عاصمة فنلندا؟,0
ما هو لبن العيران؟,ما هو اللبن؟,0
ما نسبة انتشار الإسلام في جزيرة فيجي؟,كم تبلغ نسبة انتشار الإسلام في جزيرة فيجي؟,1
كم ترتفع هضبة النجود في الجزائر؟,إلى كم يصل ارتفاع هضبة النجود؟,1
كيف تختلف الدورة الدموية لدى الضفدع عن الإنسان؟,كيف يكون غشاء بطين القلب لدى الضفدع؟,0
ما كيفية تنظيف السجاد ؟,كيف انظف بقع القهوة عن السجاد؟,0
ما هي عملة العراق؟,متى صدرت عملة العراق؟,0
كيف احضر مخلل مقلي في الفرن؟,من طرق تحضير مخلل مقلي في الفرن؟,1
كيف احضر مهلبية الرهش ؟,من طرق تحضير  الرهش ؟,0
ما هو التيفويد؟,ما هي حمى التيفوئيد؟,1
من هو طرفة بن العبد؟,من هو طرفة بن العبد؟,1
هل هناك مشاريع لا تحتاج لراس مال ؟,من افكار مشاريع لا تحتاج الى راس مال ؟,1
كم تصل مساحة فانوا ليفو الموجودة في جزيرة فيجي؟,ما هي مساحة جزيرة فانوا الجغرافية؟,1
ما طريقة تحضير أرنب مسبّك ؟,من طرق تحضير أرنب مسلوق؟,0
ما هي أمثلة تطبيقات VOIP؟,أريد أمثلة على بتكولوجيا VOIP؟,1
أين يقع ميناء رأس تنورة؟,ما هو أكبر ميناء نفط في العالم؟,0
في أي سنة ظهر أول هاتف محمول بكاميرا؟,ما هو الهاتف المحمول؟,0
كيف احضر صلصة الشّوكولاته ؟,من طرق تحضير صلصة الشّوكولاته ؟,1
ما اسم عاصمة الجزائر؟,ما اسم عاصمة الجمهورية الجزائرية الديمقراطية؟؟,1
كم تبلغ مساحة ولاية نيوفنلند ولابرادور؟,كم تبلغ المساحة الجغرافية لولاية مانيتوبا؟,0
من هي أول شركة أصدرت جهاز التابلت؟,ما اسم الشركة التي أصدرت أول تابلت؟,1
ما هي اعراض التهاب المرارة؟,ما هي اعراض التهاب الصفراء؟,1
ما طريقة تحضير كيك بالفواكه ؟,من طرق تحضير  كيك بالفواكه؟,1
ما هو الاستثمار ؟,ماذا نعني بالاستثمار ؟,1
من طرق تحضير أصابع الشوكولاتة ؟,من طرق تحضير الشوكولاتة؟,0
ما عاصمة سيراليون؟,ما اسم عاصمة سيراليون؟,1
كيف احضر  الهوت كيك؟,من طرق تحضير  الهوت كيك؟,1
ما هي المحافظة الأردنية التي تقع أقصى شمال شرق المملكة الأردنية؟,ما المحافظة الأردنية التي توجد في أقصى شمال شرق الأردن؟,1
أين توجد المملكة المتحدة في قارة اوروبا؟,أين توجد أوكرانيا في قارة أوروبا؟,0
ما المقصود بالصيام المكروه؟,ما معنى الصيام المكروه؟,1
ما طريقة تحضير حلى قهوة القشطة والبسكويت؟,كيف احضر حلى قهوة القشطة والبسكويت؟,1
